code,eng,thai
A510,Primary genital syphilis,ซิฟิลิสอวัยวะสืบพันธ์ระยะที่ 1
A511,Primary anal syphilis,ซิฟิลิสทวารหนักระยะที่ 1
A512,Primary syphilis of other sites,ซิฟิลิสระยะที่ 1 ที่ตำแหน่งอื่น
A513,Secondary syphilis of skin and mucous membranes,ซิฟิลิสระยะที่ 2 ที่ผิวหนังและเยื่อเมือก
A514,Other secondary syphilis,ซิฟิลิสระยะที่ 2 ชนิดอื่น
A515,Early syphilis latent,ซิฟิลิสระยะเริ่ม ชนิดแฝง
A519,Early syphilis unspecified,ซิฟิลิสระยะเริ่ม ที่มิได้ระบุรายละเอียด
A52,Late syphilis,ซิฟิลิสระยะหลัง
A520,Cardiovascular syphilis,ซิฟิลิสของหัวใจและหลอดเลือด
A521,Symptomatic neurosyphilis,ซิฟิลิสระบบประสาทแบบแสดงอาการ
A522,Asymptomatic neurosyphilis,ซิฟิลิสระบบประสาทแบบไม่แสดงอาการ
A523,Neurosyphilis unspecified,ซิฟิลิสระบบประสาท ที่มิได้ระบุรายละเอียด
A527,Other symptomatic late syphilis,ซิฟิลิสระยะหลังแบบแสดงอาการชนิดอื่น
A528,Late syphilis latent,ซิฟิลิสระยะหลัง ชนิดแฝง
A529,Late syphilis unspecified,ซิฟิลิสระยะหลัง  ที่มิได้ระบุรายละเอียด
A53,Other and unspecified syphilis,ซิฟิลิสชนิดอื่น และที่มิได้ระบุรายละเอียด
A530,Latent syphilis unspecified as early or late,ซิฟิลิสชนิดแฝง ไม่ระบุว่าเป็นระยะเริ่ม หรือระยะหลัง
A539,Syphilis unspecified,ซิฟิลิส ที่มิได้ระบุรายละเอียด
A54,Gonococcal infection,การติดเชื้อหนองใน
A540,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,การติดเชื้อหนองในของอวัยวะสืบพันธุ์และทางเดินปัสสาวะตอนล่าง ที่ไม่มีฝีรอบท่อปัสสาวะ หรือต่อมแอคเซสซอรี
A541,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess,การติดเชื้อหนองในของอวัยวะสืบพันธุ์และทางเดินปัสสาวะตอนล่าง ที่มีฝีรอบท่อปัสสาวะ หรือต่อมแอคเซสซอรี
A542,Gonococcal pelviperitonitis and other gonococcal genitourinary infections,เยื้อบุช่องท้องบริเวณอุ้งเชิงกรานอักเสบจากเชื้อหนองใน และการติดเชื้อหนองในของอวัยวะสืบพันธุ์และทางเดินปัสสาวะแบบอื่น
A543,Gonococcal infection of eye,การติดเชื้อหนองในของตา
A544,Gonococcal infection of musculoskeletal system,การติดเชื้อหนองในของระบบกระดูกและกล้ามเนื้อ
A545,Gonococcal pharyngitis,คอหอยอักเสบจากเชื้อหนองใน
A546,Gonococcal infection of anus and rectum,การติดเชื้อหนองในของทวารหนัก และไส้ตรง
A548,Other gonococcal infections,การติดเชื้อหนองในของอวัยวะอื่น
A549,Gonococcal infectionunspecified,การติดเชื้อหนองใน ที่มิได้ระบุรายละเอียด
A55,Chlamydial lymphogranuloma (venereum),โรคต่อมน้ำเหลืองบริเวณขาหนีบอักเสบจากเชื้อคลามัยเดีย
A56,Other sexually transmitted chlamydial diseases,โรคติดต่อทางเพศสัมพันธ์จากเชื้อคลามัยเดีย
A560,Chlamydial infection of lower genitourinary tract,การติดเชื้อคลามัยเดียของทางเดินอวัยวะสืบพันธุ์ร่วมปัสสาวะส่วนล่าง
